"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.204385837E0,-3.318234921E0,-6.688679218E0,-1.891817093E0,7.702472628E0
1.209421237E0,-3.914198160E0,-6.619522095E0,-1.525717258E0,7.840078645E0
1.214487155E0,-4.444759369E0,-6.568070412E0,-1.240941048E0,8.027164472E0
1.219522556E0,-4.807851791E0,-6.556977272E0,-9.165339470E-1,8.182262784E0
1.224557956E0,-5.128146648E0,-6.522317410E0,-5.877447128E-1,8.317689360E0
1.229593356E0,-5.424920559E0,-6.469404221E0,-2.946391106E-1,8.448062869E0
1.234628757E0,-5.826914310E0,-6.286478519E0,-3.684043884E-2,8.571703435E0
1.239694675E0,-6.178443432E0,-6.042847157E0,2.092881203E-1,8.644823105E0
1.244760593E0,-6.544561386E0,-5.822787762E0,6.661200523E-1,8.785206712E0
1.249795993E0,-6.897912979E0,-5.610354900E0,1.235866547E0,8.976895438E0
1.254831393E0,-7.461653233E0,-5.313044071E0,1.868452072E0,9.348573122E0
1.259897311E0,-8.055113792E0,-5.013076305E0,2.504714966E0,9.812715695E0
1.264932712E0,-8.443475723E0,-5.010121346E0,3.029166698E0,1.027469946E1
1.269998630E0,-8.785561562E0,-5.010176659E0,3.297141552E0,1.063762683E1
1.275034030E0,-9.289193153E0,-4.759276390E0,3.465564251E0,1.099772507E1
1.280099948E0,-9.611497879E0,-4.491851807E0,3.451097965E0,1.115650937E1
1.285104831E0,-9.813127518E0,-4.143701553E0,3.290335178E0,1.114872369E1
1.290140231E0,-9.948487282E0,-3.709233284E0,3.016315937E0,1.103761625E1
1.295175632E0,-9.953067780E0,-3.247440815E0,2.750544548E0,1.082473673E1
1.300211032E0,-9.691456795E0,-2.802774429E0,2.609241009E0,1.042055747E1
1.305276950E0,-9.260507584E0,-2.421923637E0,2.429450512E0,9.875471867E0
1.310342868E0,-8.622759819E0,-2.175800323E0,1.996726513E0,9.114439682E0
1.315378268E0,-7.736376762E0,-1.974894524E0,1.545418739E0,8.132653495E0
1.320444186E0,-6.786614895E0,-1.646209717E0,1.115457535E0,7.071944123E0
1.325479587E0,-5.766890526E0,-1.170254707E0,5.891013145E-1,5.913845008E0
1.330514987E0,-4.544334888E0,-7.295732498E-1,-4.180765152E-2,4.602717087E0
1.335580905E0,-3.293677330E0,-2.391047478E-1,-6.112637520E-1,3.358440830E0
1.340616306E0,-2.251228571E0,3.207926750E-1,-8.678526878E-1,2.433948707E0
1.345682223E0,-1.367434740E0,8.961362839E-1,-9.189372063E-1,1.875468900E0
1.350717624E0,-5.404965878E-1,1.414488792E0,-6.508913040E-1,1.648203445E0
1.355753024E0,3.446447849E-1,1.889726639E0,-7.474899292E-3,1.920911937E0
1.360788425E0,1.026112556E0,2.449411869E0,7.768697739E-1,2.766957197E0
1.365854343E0,1.553182244E0,2.927375317E0,1.611608505E0,3.684994342E0
1.370889743E0,2.054438591E0,3.316419125E0,2.641098022E0,4.711130703E0
1.375925143E0,2.348707438E0,3.665607452E0,3.693702221E0,5.709338028E0
