"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.913986470E-1,-3.458507061E-1,6.413383484E-1,-7.275075912E-1,1.029657653E0
7.964645650E-1,-4.162389338E-1,5.961072445E-1,-7.730236053E-1,1.061208835E0
8.014999650E-1,-4.005654752E-1,5.519318581E-1,-8.350830078E-1,1.078167476E0
8.065353650E-1,-2.888386548E-1,5.090510845E-1,-8.423280716E-1,1.025708221E0
8.116012830E-1,-1.307024658E-1,4.963583946E-1,-8.284893036E-1,9.746021325E-1
8.166366840E-1,-1.334169507E-2,4.896709919E-1,-7.437505722E-1,8.905731833E-1
8.217026020E-1,1.253995895E-1,4.817974567E-1,-6.004467010E-1,7.799936456E-1
8.267380020E-1,1.392544210E-1,5.126671791E-1,-3.773632050E-1,6.516305846E-1
8.318039200E-1,1.587819457E-1,5.720090866E-1,-1.224184036E-1,6.061290019E-1
8.368393210E-1,1.187496036E-1,5.950019360E-1,6.201553345E-2,6.098972852E-1
8.418747210E-1,8.989353478E-2,6.480410099E-1,2.098150253E-1,6.870664764E-1
8.469406390E-1,4.995122552E-3,6.808624268E-1,3.045988083E-1,7.459081910E-1
8.519455220E-1,-7.914134860E-2,7.170653343E-1,3.444137573E-1,7.994165891E-1
8.570114400E-1,-7.427915931E-2,7.517595291E-1,3.010263443E-1,8.131891804E-1
8.620773580E-1,-5.716717243E-2,8.014349937E-1,2.344989777E-1,8.369921776E-1
8.670822400E-1,-5.383108556E-2,8.447864056E-1,1.115655899E-1,8.538200851E-1
8.721176410E-1,-4.446864128E-3,9.013698101E-1,-1.991367340E-2,9.016007229E-1
8.771530410E-1,8.373251557E-2,9.403469563E-1,-1.980495453E-1,9.646176210E-1
8.821884420E-1,1.918207854E-1,9.360215664E-1,-3.536424637E-1,1.018820190E0
8.872543600E-1,2.914599478E-1,9.509377480E-1,-4.607477188E-1,1.096138660E0
8.923202780E-1,3.453027010E-1,9.329814911E-1,-6.220836639E-1,1.173318585E0
8.973556780E-1,4.206736684E-1,9.328088760E-1,-7.089548111E-1,1.244875760E0
9.024215960E-1,4.749082327E-1,8.742885590E-1,-7.479934692E-1,1.244754009E0
9.074875140E-1,5.658208132E-1,7.790830135E-1,-7.942371368E-1,1.248173131E0
9.125229140E-1,6.533063650E-1,7.190213203E-1,-8.072509766E-1,1.263113219E0
9.175888320E-1,7.063958049E-1,6.964440346E-1,-7.181940079E-1,1.224676267E0
9.226242330E-1,7.447223663E-1,6.275403500E-1,-5.466556549E-1,1.116803787E0
9.276901510E-1,7.708818913E-1,5.765047073E-1,-4.406070709E-1,1.058655354E0
9.327255510E-1,7.418063879E-1,5.570828915E-1,-2.805252075E-1,9.691813335E-1
9.377609510E-1,6.814872622E-1,5.473630428E-1,-1.404333115E-1,8.852980878E-1
9.427963520E-1,6.302945614E-1,5.616078377E-1,-2.975654602E-2,8.447248365E-1
9.478317520E-1,5.641202927E-1,6.136457920E-1,3.274917603E-2,8.341854537E-1
9.528976700E-1,4.684302807E-1,6.390709877E-1,1.639766693E-1,8.091520273E-1
9.579330710E-1,4.257541895E-1,6.594891548E-1,2.683677673E-1,8.295865438E-1
9.629989880E-1,3.114706874E-1,6.890265942E-1,3.484888077E-1,8.325959918E-1
9.680343890E-1,1.967180222E-1,7.157077789E-1,4.640130997E-1,8.753535067E-1
9.731003070E-1,1.216723770E-1,7.157671452E-1,5.576086044E-1,9.154529639E-1
9.781357070E-1,7.421937585E-2,7.318744659E-1,6.294660568E-1,9.681819387E-1
9.831711080E-1,1.235611737E-1,7.021884918E-1,6.987152100E-1,9.982679932E-1
9.882065080E-1,2.283536494E-1,7.365074158E-1,7.582273483E-1,1.081432973E0
9.932724260E-1,2.738191485E-1,7.348346710E-1,7.889175415E-1,1.112362264E0
9.983078260E-1,2.790583372E-1,7.187323570E-1,8.695344925E-1,1.162127355E0
1.003343227E0,2.396108210E-1,7.456064224E-1,1.016480446E0,1.283189300E0
1.008409145E0,2.509629726E-1,7.457790375E-1,1.084196091E0,1.339645457E0
1.013444545E0,2.673301995E-1,7.263369560E-1,1.197013855E0,1.425437820E0
1.018479946E0,3.553482890E-1,7.587411404E-1,1.273706436E0,1.524561776E0
1.023545863E0,4.194151163E-1,7.331397533E-1,1.307369232E0,1.556475906E0
1.028611781E0,4.674451351E-1,7.046856880E-1,1.221937180E0,1.486007182E0
1.033647182E0,5.003108978E-1,6.875829697E-1,1.253859520E0,1.515006611E0
1.038682582E0,4.827687144E-1,7.199947834E-1,1.247691154E0,1.519273292E0
1.043748500E0,4.155301154E-1,8.969957829E-1,1.165479660E0,1.528270117E0
1.048783901E0,3.636412024E-1,1.067845106E0,1.017120361E0,1.518901552E0
1.053819301E0,3.274970353E-1,1.130655766E0,7.360830307E-1,1.388328130E0
1.058854701E0,2.761315703E-1,1.146527052E0,6.467924118E-1,1.345032843E0
1.063920619E0,2.636340857E-1,1.140193224E0,7.743978500E-1,1.403294534E0
1.068956020E0,1.628523171E-1,1.045395613E0,9.319438934E-1,1.409926340E0
1.074021938E0,1.120857000E-1,9.316279888E-1,9.906253815E-1,1.364489853E0
1.079057338E0,1.226748377E-1,8.655469418E-1,1.041528702E0,1.359780372E0
1.084123256E0,2.277348638E-1,7.829654217E-1,1.041712761E0,1.322899655E0
1.089128139E0,3.840379715E-1,6.842668056E-1,1.050922394E0,1.311542642E0
1.094194057E0,6.006191969E-1,5.058085918E-1,1.211974144E0,1.444114634E0
1.099259975E0,8.318200111E-1,2.714564800E-1,1.431326866E0,1.677590459E0
1.104295375E0,9.679425955E-1,-2.107286453E-2,1.575321198E0,1.849052138E0
1.109330776E0,1.019140005E0,-3.289735317E-1,1.725437164E0,2.030764226E0
1.114366176E0,1.031023741E0,-5.523617268E-1,1.936532974E0,2.262360137E0
1.119432094E0,1.034381390E0,-7.775801420E-1,2.210798264E0,2.561680054E0
1.124467494E0,1.017590284E0,-9.914247990E-1,2.467149734E0,2.846970483E0
1.129533412E0,1.012280226E0,-1.189543128E0,2.681924820E0,3.103618026E0
1.134568813E0,9.804782271E-1,-1.439710259E0,2.953225136E0,3.428650155E0
1.139604213E0,9.678326845E-1,-1.647141337E0,3.016366959E0,3.570468361E0
1.144639613E0,9.301011562E-1,-1.819964290E0,3.160802841E0,3.764044736E0
1.149705531E0,8.514006734E-1,-1.928219914E0,3.326668739E0,3.938228034E0
1.154740932E0,7.632913589E-1,-1.944880128E0,3.392493248E0,3.984241816E0
1.159806850E0,6.421732903E-1,-1.985244632E0,3.389735222E0,3.980438124E0
1.164842250E0,4.978189766E-1,-1.985677242E0,3.356962204E0,3.931912141E0
1.169908168E0,3.634501398E-1,-1.956301689E0,3.244282722E0,3.805861622E0
1.174943569E0,2.078876793E-1,-1.890114427E0,3.032954216E0,3.579743162E0
1.179978969E0,1.022924185E-1,-1.822687984E0,2.725775719E0,3.280626235E0
1.185014369E0,8.594226837E-2,-1.763612032E0,2.428070068E0,3.002205478E0
1.190080287E0,4.332843423E-2,-1.643414736E0,2.146954536E0,2.704090074E0
1.195115688E0,-3.787708282E-2,-1.602502108E0,1.775018692E0,2.391681215E0
1.200181606E0,-1.291443408E-1,-1.494973421E0,1.303146362E0,1.987413956E0
1.205186488E0,-1.662815511E-1,-1.422370553E0,8.316679001E-1,1.656037149E0
1.210221889E0,-2.572205067E-1,-1.439162493E0,3.558397293E-1,1.504650452E0
1.215287807E0,-4.445294142E-1,-1.406007409E0,-5.054950714E-2,1.475472293E0
1.220323207E0,-5.702215433E-1,-1.393811345E0,-4.189252853E-1,1.563125417E0
1.225389125E0,-5.935451984E-1,-1.369062424E0,-8.710708618E-1,1.727828773E0
1.230424526E0,-5.814492106E-1,-1.320953846E0,-1.337749481E0,1.967886156E0
1.235459926E0,-4.931910336E-1,-1.279783010E0,-1.702272415E0,2.186049708E0
1.240495326E0,-4.451666474E-1,-1.242190361E0,-1.996298790E0,2.392993752E0
