"Time (s)","Latitude","Longitude","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.025769243E2,6.506663036E1,2.549103658E1,1.238627685E1,2.987091064E1,0.000000000E0,NaN,2.761850918E-2,9.648000717E0,4.000000000E0,2.300000000E1
1.035780033E2,6.506662944E1,2.549103889E1,1.224681212E1,2.973144531E1,0.000000000E0,NaN,2.777355379E-2,9.648000717E0,4.000000000E0,2.300000000E1
1.045780250E2,6.506662860E1,2.549104153E1,1.199199095E1,2.947662354E1,0.000000000E0,NaN,2.793309337E-2,9.648000717E0,4.000000000E0,2.300000000E1
1.055824714E2,6.506662787E1,2.549104446E1,1.174785093E1,2.923248291E1,0.000000000E0,NaN,2.813395019E-2,9.648000717E0,4.000000000E0,2.300000000E1
1.065788028E2,6.506662716E1,2.549104840E1,1.186717538E1,2.935180664E1,0.000000000E0,NaN,2.825316770E-2,9.648000717E0,4.000000000E0,2.600000000E1
1.075795716E2,6.506662674E1,2.549105074E1,1.175242971E1,2.923706055E1,0.000000000E0,NaN,2.831407817E-2,9.648000717E0,4.000000000E0,2.600000000E1
1.085758614E2,6.506662652E1,2.549105193E1,1.153746411E1,2.902209473E1,0.000000000E0,NaN,2.845689304E-2,9.648000717E0,4.000000000E0,2.700000000E1
1.095821418E2,6.506662561E1,2.549105408E1,1.137285287E1,2.885748291E1,1.700000018E-1,1.285000000E2,2.887073175E-2,9.648000717E0,4.000000000E0,2.700000000E1
1.105837406E2,6.506662189E1,2.549105381E1,1.120354266E1,2.868817139E1,0.000000000E0,NaN,2.927812718E-2,9.648000717E0,4.000000000E0,2.600000000E1
1.115793791E2,6.506662299E1,2.549104552E1,1.124974491E1,2.873437500E1,6.899999976E-1,3.117000122E2,3.020891764E-2,9.648000717E0,4.000000000E0,2.700000000E1
